#B	dB	H	dH
0.004	0.00012	-12.7	6.4
0.004	0.00012	-12.7	6.41
0.0035	0.000105	-11.1	5.6
0.004	0.00012	-12.7	6.4
0.0035	0.000105	-11.1	5.6
0.004	0.00012	-12.7	6.4
0.0035	0.000105	-11.1	5.6
0.004	0.00012	-12.7	6.4
0.0035	0.000105	-11.1	5.6
0.004	0.00012	-12.7	6.41
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.004	0.00012	-12.7	6.4
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.0035	0.000105	-11.1	5.6
0.005	0.00015	-15.9	7.98
0.0075	0.000225	-23.6	12
0.0125	0.000375	-39.2	20
0.0185	0.000555	-57.5	29.6
0.026	0.00078	-80.2	41.6
0.035	0.00105	-107	55.9
0.045	0.00135	-136	71.9
0.0555	0.00167	-167	88.7
0.0675	0.00202	-200	108
0.082	0.00246	-241	131
0.098	0.00294	-283	157
0.117	0.0035	-331	186
0.137	0.00411	-383	219
0.158	0.00474	-435	252
0.179	0.00537	-484	286
0.201	0.00603	-535	321
0.222	0.00664	-579	354
0.243	0.00729	-623	388
0.265	0.00793	-666	422
0.285	0.00855	-704	455
0.305	0.00916	-741	488
0.327	0.00979	-775	521
0.347	0.0104	-807	554
0.367	0.011	-836	586
0.386	0.0116	-861	616
0.403	0.0121	-882	643
0.417	0.0125	-899	667
0.432	0.013	-915	690
0.446	0.0134	-928	711
0.459	0.0138	-938	733
0.473	0.0142	-948	754
0.485	0.0145	-957	774
0.496	0.0149	-965	793
0.507	0.0152	-971	810
0.517	0.0155	-976	826
0.527	0.0158	-979	841
0.537	0.0161	-982	857
0.546	0.0164	-983	872
0.555	0.0167	-984	887
0.566	0.017	-986	903
0.574	0.0172	-984	917
0.583	0.0175	-985	931
0.591	0.0177	-984	943
0.599	0.018	-985	956
0.606	0.0182	-982	968
0.614	0.0184	-980	980
0.621	0.0186	-976	992
0.63	0.0189	-972	1.01e+03
0.638	0.0191	-967	1.02e+03
0.645	0.0194	-963	1.03e+03
0.653	0.0196	-956	1.04e+03
0.661	0.0198	-951	1.06e+03
0.67	0.0201	-942	1.07e+03
0.679	0.0204	-934	1.08e+03
0.688	0.0206	-925	1.1e+03
0.696	0.0209	-916	1.11e+03
0.705	0.0211	-906	1.13e+03
0.714	0.0214	-896	1.14e+03
0.722	0.0217	-883	1.15e+03
0.732	0.0219	-871	1.17e+03
0.741	0.0222	-857	1.18e+03
0.75	0.0225	-841	1.2e+03
0.759	0.0228	-824	1.21e+03
0.768	0.023	-808	1.23e+03
0.778	0.0233	-791	1.24e+03
0.785	0.0236	-774	1.25e+03
0.794	0.0238	-756	1.27e+03
0.802	0.0241	-740	1.28e+03
0.81	0.0243	-720	1.29e+03
0.82	0.0246	-697	1.31e+03
0.828	0.0248	-676	1.32e+03
0.836	0.0251	-654	1.33e+03
0.844	0.0253	-636	1.35e+03
0.851	0.0255	-613	1.36e+03
0.859	0.0258	-588	1.37e+03
0.867	0.026	-562	1.38e+03
0.874	0.0262	-538	1.4e+03
0.882	0.0264	-516	1.41e+03
0.888	0.0266	-488	1.42e+03
0.896	0.0269	-461	1.43e+03
0.902	0.0271	-439	1.44e+03
0.907	0.0272	-418	1.45e+03
0.913	0.0274	-399	1.46e+03
0.917	0.0275	-384	1.47e+03
0.922	0.0277	-363	1.47e+03
0.926	0.0278	-337	1.48e+03
0.931	0.0279	-315	1.49e+03
0.936	0.0281	-296	1.49e+03
0.94	0.0282	-279	1.5e+03
0.944	0.0283	-263	1.51e+03
0.947	0.0284	-246	1.51e+03
0.95	0.0285	-227	1.52e+03
0.954	0.0286	-210	1.52e+03
0.956	0.0287	-195	1.53e+03
0.959	0.0288	-181	1.53e+03
0.961	0.0288	-170	1.53e+03
0.964	0.0289	-155	1.54e+03
0.967	0.029	-132	1.54e+03
0.97	0.0291	-106	1.55e+03
0.975	0.0292	-99.6	1.56e+03
0.979	0.0294	-100	1.56e+03
0.985	0.0295	-101	1.57e+03
0.989	0.0297	-101	1.58e+03
0.992	0.0298	-101	1.58e+03
0.995	0.0298	-102	1.59e+03
0.997	0.0299	-102	1.59e+03
0.998	0.0299	-102	1.59e+03
0.999	0.03	-102	1.6e+03
0.999	0.03	-102	1.6e+03
0.999	0.03	-102	1.59e+03
