#B	dB	H	dH
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-198	99.2
0.062	0.00186	-198	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-198	99.2
0.0595	0.00179	-191	95.3
0.0385	0.00115	-125	62
0.0095	0.000285	-31.6	17.1
-0.02	-0.0006	67.9	32.9
-0.0505	-0.00152	175	81
-0.0795	-0.00238	280	127
-0.105	-0.00315	375	168
-0.126	-0.00378	456	201
-0.145	-0.00436	532	232
-0.166	-0.00498	614	265
-0.185	-0.00555	692	295
-0.207	-0.00619	783	330
-0.23	-0.0069	885	367
-0.254	-0.00762	991	406
-0.277	-0.00831	1.1e+03	442
-0.298	-0.00895	1.2e+03	477
-0.321	-0.00963	1.3e+03	513
-0.344	-0.0103	1.41e+03	549
-0.365	-0.011	1.52e+03	584
-0.387	-0.0116	1.63e+03	617
-0.408	-0.0122	1.74e+03	651
-0.429	-0.0129	1.85e+03	685
-0.451	-0.0135	1.97e+03	719
-0.471	-0.0141	2.08e+03	752
-0.491	-0.0147	2.19e+03	784
-0.512	-0.0153	2.31e+03	817
-0.532	-0.016	2.43e+03	849
-0.551	-0.0165	2.55e+03	880
-0.569	-0.0171	2.66e+03	909
-0.587	-0.0176	2.77e+03	937
-0.604	-0.0181	2.88e+03	964
-0.619	-0.0186	2.98e+03	988
-0.632	-0.0189	3.06e+03	1.01e+03
-0.644	-0.0193	3.15e+03	1.03e+03
-0.656	-0.0197	3.23e+03	1.05e+03
-0.669	-0.0201	3.32e+03	1.07e+03
-0.679	-0.0204	3.39e+03	1.09e+03
-0.691	-0.0207	3.47e+03	1.1e+03
-0.7	-0.021	3.54e+03	1.12e+03
-0.709	-0.0213	3.6e+03	1.13e+03
-0.716	-0.0215	3.66e+03	1.14e+03
-0.724	-0.0217	3.72e+03	1.16e+03
-0.731	-0.0219	3.77e+03	1.17e+03
-0.739	-0.0222	3.83e+03	1.18e+03
-0.749	-0.0225	3.91e+03	1.2e+03
-0.762	-0.0228	4.02e+03	1.22e+03
-0.774	-0.0232	4.13e+03	1.24e+03
-0.787	-0.0236	4.23e+03	1.26e+03
-0.799	-0.024	4.33e+03	1.28e+03
-0.812	-0.0244	4.44e+03	1.3e+03
-0.824	-0.0247	4.55e+03	1.32e+03
-0.835	-0.025	4.65e+03	1.33e+03
-0.846	-0.0254	4.74e+03	1.35e+03
-0.856	-0.0257	4.83e+03	1.37e+03
-0.866	-0.026	4.93e+03	1.38e+03
-0.878	-0.0263	5.05e+03	1.4e+03
-0.891	-0.0267	5.18e+03	1.42e+03
-0.902	-0.0271	5.3e+03	1.44e+03
-0.914	-0.0274	5.41e+03	1.46e+03
-0.923	-0.0277	5.51e+03	1.47e+03
-0.932	-0.028	5.6e+03	1.49e+03
-0.94	-0.0282	5.68e+03	1.5e+03
-0.947	-0.0284	5.76e+03	1.51e+03
-0.953	-0.0286	5.83e+03	1.52e+03
-0.956	-0.0287	5.88e+03	1.53e+03
-0.961	-0.0288	5.94e+03	1.53e+03
-0.965	-0.0289	5.98e+03	1.54e+03
-0.966	-0.029	5.99e+03	1.54e+03
-0.967	-0.029	5.99e+03	1.54e+03
-0.968	-0.029	6e+03	1.55e+03
-0.966	-0.029	5.99e+03	1.54e+03
-0.967	-0.029	5.99e+03	1.54e+03
-0.967	-0.029	5.99e+03	1.54e+03
-0.963	-0.0289	5.92e+03	1.54e+03
-0.959	-0.0288	5.85e+03	1.53e+03
-0.954	-0.0286	5.77e+03	1.52e+03
-0.95	-0.0285	5.7e+03	1.52e+03
-0.943	-0.0283	5.61e+03	1.51e+03
-0.938	-0.0281	5.54e+03	1.5e+03
-0.933	-0.028	5.47e+03	1.49e+03
-0.93	-0.0279	5.42e+03	1.49e+03
-0.923	-0.0277	5.34e+03	1.47e+03
-0.916	-0.0275	5.25e+03	1.46e+03
-0.909	-0.0273	5.17e+03	1.45e+03
-0.902	-0.0271	5.08e+03	1.44e+03
-0.894	-0.0268	5e+03	1.43e+03
-0.886	-0.0266	4.91e+03	1.41e+03
-0.877	-0.0263	4.81e+03	1.4e+03
-0.865	-0.0259	4.69e+03	1.38e+03
-0.854	-0.0256	4.58e+03	1.36e+03
-0.844	-0.0253	4.5e+03	1.35e+03
-0.837	-0.0251	4.43e+03	1.34e+03
-0.829	-0.0249	4.36e+03	1.32e+03
-0.821	-0.0246	4.28e+03	1.31e+03
-0.811	-0.0243	4.2e+03	1.29e+03
-0.801	-0.024	4.12e+03	1.28e+03
-0.792	-0.0238	4.04e+03	1.26e+03
-0.781	-0.0234	3.95e+03	1.25e+03
-0.769	-0.0231	3.86e+03	1.23e+03
-0.758	-0.0227	3.76e+03	1.21e+03
-0.744	-0.0223	3.65e+03	1.19e+03
-0.728	-0.0218	3.53e+03	1.16e+03
-0.713	-0.0214	3.42e+03	1.14e+03
-0.698	-0.0209	3.31e+03	1.11e+03
-0.682	-0.0205	3.2e+03	1.09e+03
-0.662	-0.0199	3.06e+03	1.06e+03
-0.641	-0.0192	2.92e+03	1.02e+03
-0.62	-0.0186	2.78e+03	990
-0.598	-0.0179	2.64e+03	955
-0.576	-0.0173	2.5e+03	920
-0.553	-0.0166	2.37e+03	883
-0.53	-0.0159	2.23e+03	846
-0.508	-0.0152	2.11e+03	811
-0.484	-0.0145	1.98e+03	774
-0.461	-0.0138	1.85e+03	736
-0.439	-0.0132	1.74e+03	700
-0.417	-0.0125	1.63e+03	666
-0.398	-0.0119	1.54e+03	635
-0.381	-0.0114	1.46e+03	608
-0.364	-0.0109	1.38e+03	582
-0.347	-0.0104	1.3e+03	554
-0.33	-0.0099	1.22e+03	527
-0.31	-0.0093	1.14e+03	495
-0.289	-0.00868	1.05e+03	462
-0.273	-0.00817	976	435
-0.253	-0.00759	896	404
-0.233	-0.00698	813	371
-0.211	-0.00633	728	337
-0.19	-0.0057	647	304
-0.17	-0.00509	571	271
-0.149	-0.00447	496	238
-0.129	-0.00385	422	205
-0.112	-0.00336	364	179
-0.101	-0.00301	325	161
-0.0915	-0.00275	295	146
-0.0855	-0.00257	275	137
-0.0805	-0.00242	258	129
-0.0775	-0.00232	248	124
-0.07	-0.0021	223	112
-0.0685	-0.00205	218	110
-0.067	-0.00201	213	107
-0.0665	-0.002	212	106
-0.066	-0.00198	210	106
-0.0655	-0.00197	209	105
-0.0655	-0.00197	209	105
-0.0645	-0.00194	205	103
-0.059	-0.00177	186	94.5
-0.0495	-0.00148	155	79.4
-0.039	-0.00117	122	62.7
-0.0295	-0.000885	91.3	47.7
-0.0195	-0.000585	60	32
-0.011	-0.00033	33.6	19
-0.001	-3e-05	3.04	7.31
0.009	0.00027	-27.1	16
0.0175	0.000525	-52.5	28.8
0.025	0.00075	-74.6	40.5
0.034	0.00102	-101	54.7
0.045	0.00135	-132	72.2
0.058	0.00174	-169	92.9
0.0705	0.00212	-203	113
0.0835	0.0025	-238	133
0.098	0.00294	-277	157
0.116	0.00347	-321	185
0.135	0.00404	-368	215
0.155	0.00466	-418	248
0.174	0.00522	-461	278
0.191	0.00571	-498	304
0.205	0.00615	-530	327
0.221	0.00663	-564	353
0.238	0.00714	-598	380
0.255	0.00765	-630	407
0.273	0.00817	-663	435
0.289	0.00867	-693	461
0.304	0.00913	-720	486
0.32	0.0096	-745	511
0.336	0.0101	-770	537
0.352	0.0105	-793	561
0.367	0.011	-815	587
0.384	0.0115	-836	613
0.401	0.012	-856	640
0.416	0.0125	-875	665
0.432	0.013	-892	690
0.447	0.0134	-905	714
0.464	0.0139	-919	741
0.481	0.0144	-930	768
0.498	0.0149	-941	795
0.514	0.0154	-952	821
0.529	0.0159	-958	845
0.544	0.0163	-961	869
0.559	0.0168	-964	893
0.573	0.0172	-966	915
0.589	0.0177	-966	940
0.604	0.0181	-962	964
0.619	0.0186	-958	988
0.633	0.019	-955	1.01e+03
0.646	0.0194	-950	1.03e+03
0.659	0.0198	-943	1.05e+03
0.672	0.0202	-934	1.07e+03
0.684	0.0205	-927	1.09e+03
0.695	0.0208	-916	1.11e+03
0.704	0.0211	-908	1.12e+03
0.713	0.0214	-901	1.14e+03
0.72	0.0216	-894	1.15e+03
0.728	0.0218	-880	1.16e+03
0.738	0.0221	-866	1.18e+03
0.749	0.0225	-846	1.2e+03
0.76	0.0228	-829	1.21e+03
0.77	0.0231	-809	1.23e+03
0.782	0.0235	-787	1.25e+03
0.794	0.0238	-759	1.27e+03
0.807	0.0242	-731	1.29e+03
0.819	0.0246	-704	1.31e+03
0.83	0.0249	-681	1.32e+03
0.838	0.0251	-658	1.34e+03
0.848	0.0254	-635	1.35e+03
0.857	0.0257	-605	1.37e+03
0.866	0.026	-574	1.38e+03
0.876	0.0263	-543	1.4e+03
0.885	0.0265	-510	1.41e+03
0.896	0.0269	-466	1.43e+03
0.906	0.0272	-420	1.45e+03
0.919	0.0276	-365	1.47e+03
0.929	0.0279	-321	1.48e+03
0.938	0.0281	-282	1.5e+03
0.947	0.0284	-234	1.51e+03
0.955	0.0287	-194	1.53e+03
0.961	0.0288	-160	1.53e+03
0.963	0.0289	-163	1.54e+03
0.964	0.0289	-161	1.54e+03
0.964	0.0289	-161	1.54e+03
0.964	0.0289	-161	1.54e+03
0.964	0.0289	-161	1.54e+03
0.964	0.0289	-162	1.54e+03
0.964	0.0289	-162	1.54e+03
0.964	0.0289	-159	1.54e+03
