#B	dB	H	dH
0.962	0.0289	-162	1.54e+03
0.961	0.0288	-180	1.53e+03
0.958	0.0287	-216	1.53e+03
0.955	0.0286	-251	1.52e+03
0.951	0.0285	-298	1.52e+03
0.945	0.0284	-349	1.51e+03
0.937	0.0281	-413	1.5e+03
0.928	0.0278	-487	1.48e+03
0.916	0.0275	-565	1.46e+03
0.904	0.0271	-630	1.44e+03
0.893	0.0268	-687	1.43e+03
0.881	0.0264	-737	1.41e+03
0.869	0.0261	-787	1.39e+03
0.856	0.0257	-832	1.37e+03
0.842	0.0253	-875	1.34e+03
0.827	0.0248	-921	1.32e+03
0.81	0.0243	-958	1.29e+03
0.794	0.0238	-995	1.27e+03
0.778	0.0233	-1.03e+03	1.24e+03
0.76	0.0228	-1.06e+03	1.21e+03
0.742	0.0223	-1.08e+03	1.18e+03
0.725	0.0217	-1.1e+03	1.16e+03
0.708	0.0212	-1.11e+03	1.13e+03
0.692	0.0207	-1.13e+03	1.1e+03
0.673	0.0202	-1.14e+03	1.07e+03
0.654	0.0196	-1.15e+03	1.04e+03
0.635	0.0191	-1.16e+03	1.01e+03
0.615	0.0184	-1.16e+03	982
0.595	0.0178	-1.16e+03	949
0.573	0.0172	-1.16e+03	915
0.551	0.0165	-1.15e+03	881
0.528	0.0158	-1.14e+03	843
0.505	0.0151	-1.12e+03	806
0.48	0.0144	-1.1e+03	767
0.457	0.0137	-1.07e+03	729
0.433	0.013	-1.04e+03	691
0.411	0.0123	-1.01e+03	656
0.382	0.0115	-972	610
0.345	0.0103	-909	551
0.305	0.00916	-833	488
0.274	0.00822	-764	438
0.251	0.00753	-711	401
0.229	0.00687	-659	366
0.207	0.00619	-604	330
0.18	0.00541	-538	288
0.152	0.00456	-462	243
0.128	0.00384	-395	205
0.111	0.00333	-346	177
0.0995	0.00299	-312	159
0.0905	0.00271	-285	145
0.084	0.00252	-265	134
0.079	0.00237	-250	126
0.07	0.0021	-223	112
0.067	0.00201	-213	107
0.065	0.00195	-207	104
0.064	0.00192	-204	102
0.0635	0.00191	-202	102
0.063	0.00189	-201	101
0.063	0.00189	-201	101
0.0625	0.00187	-199	100
0.0625	0.00187	-199	100
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.0625	0.00187	-199	100
0.0625	0.00187	-199	100
0.0625	0.00187	-199	100
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-198	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-198	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.0625	0.00187	-199	100
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
0.062	0.00186	-197	99.2
