#B	dB	H	dH
0.504	0.0151	-971	804
0.502	0.015	-978	801
0.498	0.015	-986	796
0.493	0.0148	-991	788
0.487	0.0146	-998	778
0.48	0.0144	-1e+03	766
0.472	0.0142	-1e+03	754
0.464	0.0139	-1e+03	740
0.455	0.0136	-1e+03	726
0.446	0.0134	-997	711
0.436	0.0131	-990	696
0.427	0.0128	-984	682
0.418	0.0125	-977	667
0.409	0.0123	-969	652
0.397	0.0119	-958	634
0.385	0.0115	-944	614
0.37	0.0111	-926	592
0.356	0.0107	-905	568
0.342	0.0102	-883	545
0.327	0.00979	-857	521
0.311	0.00933	-829	497
0.296	0.00888	-801	473
0.281	0.00842	-770	448
0.264	0.00792	-734	422
0.248	0.00745	-700	397
0.232	0.00696	-662	371
0.215	0.00646	-623	344
0.199	0.00596	-581	317
0.182	0.00546	-539	291
0.165	0.00495	-495	264
0.149	0.00447	-452	238
0.135	0.00405	-413	216
0.123	0.00369	-379	197
0.114	0.00341	-351	181
0.105	0.00315	-326	168
0.0975	0.00293	-304	156
0.0915	0.00275	-286	146
0.0865	0.0026	-271	138
0.082	0.00246	-258	131
0.078	0.00234	-246	125
0.075	0.00225	-237	120
0.072	0.00216	-227	115
0.0695	0.00209	-220	111
0.0675	0.00202	-214	108
0.066	0.00198	-209	106
0.064	0.00192	-203	102
0.0625	0.00187	-198	100
0.061	0.00183	-194	97.6
0.06	0.0018	-191	96
0.059	0.00177	-187	94.4
0.0585	0.00176	-186	93.6
0.0575	0.00172	-183	92
0.0575	0.00172	-183	92
0.0565	0.00169	-180	90.4
0.0565	0.00169	-180	90.4
0.056	0.00168	-178	89.6
0.055	0.00165	-175	88
0.055	0.00165	-175	88
0.0545	0.00163	-173	87.2
0.054	0.00162	-172	86.4
0.054	0.00162	-172	86.4
0.054	0.00162	-172	86.4
0.0535	0.0016	-170	85.6
0.0535	0.0016	-170	85.6
0.0535	0.0016	-170	85.6
0.0535	0.0016	-170	85.6
0.053	0.00159	-169	84.8
0.053	0.00159	-169	84.8
0.053	0.00159	-169	84.8
0.053	0.00159	-169	84.8
0.053	0.00159	-169	84.8
0.053	0.00159	-169	84.8
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.053	0.00159	-169	84.8
0.0525	0.00157	-167	84
0.053	0.00159	-169	84.8
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.053	0.00159	-169	84.8
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.052	0.00156	-166	83.2
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.0525	0.00157	-167	84
0.051	0.00153	-163	81.7
0.0475	0.00143	-152	76.1
0.042	0.00126	-135	67.4
0.035	0.00105	-113	56.3
0.0265	0.000795	-86.4	42.8
0.017	0.00051	-55.8	27.9
0.007	0.00021	-23.1	12.9
-0.0035	-0.000105	11.7	8.58
-0.0145	-0.000435	48.6	24
-0.0255	-0.000765	86.1	41.2
-0.037	-0.00111	126	59.4
-0.0485	-0.00145	166	77.7
-0.061	-0.00183	211	97.6
-0.074	-0.00222	258	118
-0.087	-0.00261	306	139
-0.101	-0.00303	358	161
-0.115	-0.00345	411	184
-0.13	-0.00388	467	207
-0.144	-0.00433	526	231
-0.159	-0.00477	584	254
-0.174	-0.00521	642	277
-0.189	-0.00565	704	301
-0.204	-0.00611	767	325
-0.218	-0.00656	831	349
-0.234	-0.00702	898	374
-0.248	-0.00745	961	397
-0.265	-0.00793	1.03e+03	422
-0.28	-0.0084	1.1e+03	447
-0.294	-0.00883	1.17e+03	470
-0.309	-0.00927	1.24e+03	493
-0.326	-0.00976	1.32e+03	520
-0.341	-0.0102	1.39e+03	544
-0.356	-0.0107	1.46e+03	568
-0.371	-0.0111	1.54e+03	592
-0.386	-0.0116	1.61e+03	616
-0.4	-0.012	1.69e+03	639
-0.414	-0.0124	1.76e+03	660
-0.425	-0.0128	1.82e+03	679
-0.436	-0.0131	1.88e+03	697
-0.448	-0.0134	1.94e+03	715
-0.458	-0.0137	1.99e+03	731
-0.468	-0.014	2.04e+03	746
-0.477	-0.0143	2.1e+03	762
-0.487	-0.0146	2.15e+03	778
-0.497	-0.0149	2.21e+03	794
-0.503	-0.0151	2.23e+03	802
-0.506	-0.0152	2.25e+03	807
-0.508	-0.0152	2.25e+03	810
-0.51	-0.0153	2.26e+03	814
-0.511	-0.0153	2.27e+03	815
-0.511	-0.0153	2.27e+03	816
-0.512	-0.0154	2.27e+03	818
-0.513	-0.0154	2.28e+03	819
-0.513	-0.0154	2.28e+03	819
-0.513	-0.0154	2.28e+03	819
-0.513	-0.0154	2.28e+03	820
-0.513	-0.0154	2.28e+03	820
-0.513	-0.0154	2.28e+03	820
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.513	-0.0154	2.28e+03	820
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.513	-0.0154	2.28e+03	820
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.28e+03	821
-0.514	-0.0154	2.29e+03	821
-0.514	-0.0154	2.28e+03	821
