#B	dB	H	dH
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.0125	-0.000375	39.8	20
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.013	-0.00039	41.4	20.8
-0.0125	-0.000375	39.8	20
-0.0125	-0.000375	39.8	20
-0.01	-0.0003	31.7	16.1
-0.005	-0.00015	15.8	8.22
0.0005	1.5e-05	-1.57	2.42
0.0075	0.000225	-23.4	12.2
0.0165	0.000495	-51	26.5
0.028	0.00084	-85.8	44.8
0.0395	0.00119	-120	63.1
0.052	0.00156	-156	83.1
0.0635	0.00191	-189	101
0.0755	0.00226	-223	121
0.0895	0.00268	-262	143
0.105	0.00315	-303	168
0.121	0.00364	-347	194
0.138	0.00413	-388	220
0.153	0.0046	-427	245
0.17	0.00509	-466	271
0.185	0.00555	-502	295
0.201	0.00602	-537	320
0.215	0.00646	-570	344
0.231	0.00693	-602	369
0.246	0.00739	-633	394
0.262	0.00784	-662	418
0.277	0.00831	-691	442
0.291	0.00873	-715	465
0.305	0.00915	-738	487
0.318	0.00954	-759	508
0.331	0.00993	-779	529
0.344	0.0103	-797	548
0.355	0.0107	-813	568
0.366	0.011	-828	585
0.377	0.0113	-842	602
0.387	0.0116	-854	618
0.397	0.0119	-865	634
0.407	0.0122	-876	650
0.417	0.0125	-885	666
0.426	0.0128	-894	681
0.436	0.0131	-902	697
0.446	0.0134	-909	711
0.456	0.0137	-916	727
0.465	0.014	-924	742
0.474	0.0142	-929	757
0.483	0.0145	-933	772
0.491	0.0147	-946	784
0.494	0.0148	-953	790
0.496	0.0149	-956	793
0.498	0.015	-960	796
0.499	0.015	-961	798
0.501	0.015	-963	799
0.501	0.015	-965	800
0.502	0.0151	-966	802
0.502	0.0151	-967	802
0.503	0.0151	-967	802
0.503	0.0151	-968	803
0.503	0.0151	-968	803
0.503	0.0151	-967	803
0.504	0.0151	-969	804
0.503	0.0151	-968	803
0.504	0.0151	-970	804
0.504	0.0151	-968	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.503	0.0151	-969	803
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-970	805
0.504	0.0151	-970	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-970	805
0.504	0.0151	-968	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-968	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-970	805
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-970	805
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-970	805
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-970	805
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-970	804
0.504	0.0151	-968	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-971	805
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-970	804
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-971	805
0.504	0.0151	-969	804
0.504	0.0151	-969	804
0.504	0.0151	-971	805
0.504	0.0151	-971	804
