#B	dB	H	dH
-0.389	-0.0117	1.65e+03	621
-0.404	-0.0121	1.73e+03	644
-0.418	-0.0125	1.8e+03	667
-0.432	-0.013	1.88e+03	690
-0.446	-0.0134	1.95e+03	712
-0.46	-0.0138	2.03e+03	735
-0.473	-0.0142	2.1e+03	755
-0.486	-0.0146	2.18e+03	776
-0.499	-0.015	2.25e+03	797
-0.512	-0.0154	2.32e+03	818
-0.524	-0.0157	2.4e+03	837
-0.535	-0.0161	2.46e+03	855
-0.547	-0.0164	2.53e+03	873
-0.557	-0.0167	2.6e+03	890
-0.569	-0.0171	2.66e+03	908
-0.579	-0.0174	2.73e+03	925
-0.589	-0.0177	2.79e+03	940
-0.599	-0.018	2.86e+03	956
-0.609	-0.0183	2.92e+03	972
-0.619	-0.0186	2.98e+03	988
-0.628	-0.0188	3.05e+03	1e+03
-0.638	-0.0191	3.11e+03	1.02e+03
-0.647	-0.0194	3.18e+03	1.03e+03
-0.656	-0.0197	3.24e+03	1.05e+03
-0.664	-0.0199	3.3e+03	1.06e+03
-0.673	-0.0202	3.35e+03	1.07e+03
-0.681	-0.0204	3.41e+03	1.09e+03
-0.689	-0.0207	3.47e+03	1.1e+03
-0.697	-0.0209	3.52e+03	1.11e+03
-0.704	-0.0211	3.57e+03	1.12e+03
-0.711	-0.0213	3.62e+03	1.13e+03
-0.717	-0.0215	3.67e+03	1.14e+03
-0.723	-0.0217	3.72e+03	1.15e+03
-0.73	-0.0219	3.77e+03	1.16e+03
-0.736	-0.0221	3.81e+03	1.17e+03
-0.742	-0.0222	3.86e+03	1.18e+03
-0.747	-0.0224	3.9e+03	1.19e+03
-0.754	-0.0226	3.95e+03	1.2e+03
-0.76	-0.0228	4e+03	1.21e+03
-0.765	-0.0229	4.04e+03	1.22e+03
-0.77	-0.0231	4.09e+03	1.23e+03
-0.776	-0.0233	4.14e+03	1.24e+03
-0.782	-0.0235	4.19e+03	1.25e+03
-0.788	-0.0237	4.24e+03	1.26e+03
-0.794	-0.0238	4.29e+03	1.27e+03
-0.801	-0.024	4.34e+03	1.28e+03
-0.807	-0.0242	4.4e+03	1.29e+03
-0.814	-0.0244	4.46e+03	1.3e+03
-0.821	-0.0246	4.52e+03	1.31e+03
-0.828	-0.0248	4.58e+03	1.32e+03
-0.834	-0.025	4.64e+03	1.33e+03
-0.841	-0.0252	4.7e+03	1.34e+03
-0.848	-0.0254	4.76e+03	1.35e+03
-0.854	-0.0256	4.82e+03	1.36e+03
-0.86	-0.0258	4.88e+03	1.37e+03
-0.867	-0.026	4.93e+03	1.38e+03
-0.873	-0.0262	4.99e+03	1.39e+03
-0.879	-0.0264	5.05e+03	1.4e+03
-0.884	-0.0265	5.1e+03	1.41e+03
-0.89	-0.0267	5.16e+03	1.42e+03
-0.896	-0.0269	5.22e+03	1.43e+03
-0.901	-0.027	5.27e+03	1.44e+03
-0.906	-0.0272	5.33e+03	1.45e+03
-0.911	-0.0273	5.37e+03	1.45e+03
-0.916	-0.0275	5.42e+03	1.46e+03
-0.919	-0.0276	5.47e+03	1.47e+03
-0.926	-0.0278	5.53e+03	1.48e+03
-0.93	-0.0279	5.57e+03	1.49e+03
-0.933	-0.028	5.61e+03	1.49e+03
-0.938	-0.0281	5.66e+03	1.5e+03
-0.941	-0.0282	5.7e+03	1.5e+03
-0.945	-0.0283	5.74e+03	1.51e+03
-0.949	-0.0285	5.78e+03	1.52e+03
-0.951	-0.0285	5.82e+03	1.52e+03
-0.955	-0.0286	5.86e+03	1.52e+03
-0.959	-0.0288	5.9e+03	1.53e+03
-0.963	-0.0289	5.95e+03	1.54e+03
-0.967	-0.029	6e+03	1.54e+03
-0.968	-0.029	6.01e+03	1.55e+03
-0.971	-0.0291	6.05e+03	1.55e+03
-0.975	-0.0292	6.09e+03	1.56e+03
-0.978	-0.0293	6.11e+03	1.56e+03
-0.981	-0.0294	6.13e+03	1.57e+03
-0.981	-0.0294	6.12e+03	1.57e+03
-0.983	-0.0295	6.14e+03	1.57e+03
-0.983	-0.0295	6.14e+03	1.57e+03
-0.984	-0.0295	6.14e+03	1.57e+03
-0.983	-0.0295	6.14e+03	1.57e+03
-0.984	-0.0295	6.14e+03	1.57e+03
-0.986	-0.0296	6.15e+03	1.57e+03
-0.985	-0.0295	6.15e+03	1.57e+03
-0.983	-0.0295	6.14e+03	1.57e+03
-0.986	-0.0296	6.15e+03	1.57e+03
-0.983	-0.0295	6.14e+03	1.57e+03
-0.985	-0.0295	6.15e+03	1.57e+03
-0.983	-0.0295	6.14e+03	1.57e+03
-0.982	-0.0295	6.13e+03	1.57e+03
-0.981	-0.0294	6.13e+03	1.57e+03
-0.982	-0.0295	6.13e+03	1.57e+03
-0.979	-0.0294	6.11e+03	1.56e+03
-0.979	-0.0294	6.1e+03	1.56e+03
-0.979	-0.0294	6.09e+03	1.56e+03
-0.978	-0.0293	6.08e+03	1.56e+03
-0.977	-0.0293	6.05e+03	1.56e+03
-0.975	-0.0292	6.02e+03	1.56e+03
-0.974	-0.0292	5.99e+03	1.55e+03
-0.969	-0.0291	5.93e+03	1.55e+03
-0.967	-0.029	5.88e+03	1.54e+03
-0.965	-0.0289	5.84e+03	1.54e+03
-0.961	-0.0288	5.78e+03	1.53e+03
-0.958	-0.0287	5.73e+03	1.53e+03
-0.953	-0.0286	5.66e+03	1.52e+03
-0.947	-0.0284	5.59e+03	1.51e+03
-0.945	-0.0283	5.54e+03	1.51e+03
-0.94	-0.0282	5.49e+03	1.5e+03
-0.935	-0.0281	5.42e+03	1.49e+03
-0.929	-0.0279	5.36e+03	1.48e+03
-0.924	-0.0277	5.3e+03	1.48e+03
-0.92	-0.0276	5.26e+03	1.47e+03
-0.916	-0.0275	5.21e+03	1.46e+03
-0.912	-0.0274	5.16e+03	1.46e+03
-0.907	-0.0272	5.1e+03	1.45e+03
-0.902	-0.0271	5.05e+03	1.44e+03
-0.898	-0.0269	5e+03	1.43e+03
