#"Strom" I_A1 / A "Magn. Flussdichte" B_B1 / mT
-1,2585 -514,5
-1,2585 -514
-1,2585 -514,5
-1,2585 -514
-1,2615 -514
-1,26 -514
-1,2585 -514
-1,2585 -514
-1,26 -514
-1,2585 -514
-1,26 -514
-1,2585 -514,5
-1,26 -514
-1,2585 -514
-1,26 -514
-1,26 -514
-1,2585 -514
-1,2585 -514
-1,26 -514
-1,26 -514
-1,26 -514
-1,26 -514,5
-1,26 -514
-1,26 -514
-1,2615 -514,5
-1,26 -514
-1,2585 -514,5
-1,26 -514
-1,2585 -514,5
-1,2585 -514
-1,2585 -514,5
-1,2585 -514
-1,2465 -513,5
-1,227 -510,5
-1,2015 -507,5
-1,1775 -503,5
-1,149 -498,5
-1,1205 -493
-1,092 -487
-1,062 -481
-1,0305 -474
-0,9975 -466
-0,963 -457,5
-0,9285 -449
-0,8955 -439,5
-0,861 -430
-0,8295 -420,5
-0,7965 -411
-0,7635 -400,5
-0,7335 -389,5
-0,7005 -379,5
-0,666 -368,5
-0,63 -355,5
-0,591 -341,5
-0,552 -328
-0,51 -312,5
-0,4725 -295,5
-0,4335 -280,5
-0,399 -265
-0,3645 -249
-0,33 -233,5
-0,2955 -218
-0,261 -202
-0,2295 -186
-0,195 -170
-0,162 -154
-0,132 -139
-0,111 -127
-0,0945 -116
-0,078 -108
-0,0675 -100,5
-0,057 -94
-0,048 -89
-0,042 -84
-0,0345 -80
-0,03 -76,5
-0,027 -73,5
-0,0225 -71
-0,018 -69
-0,0165 -67
-0,0135 -65,5
-0,012 -64
-0,0105 -62,5
-0,009 -61,5
-0,0075 -60,5
-0,0075 -60
-0,006 -59
-0,0045 -58
-0,003 -58
-0,0045 -57
-0,003 -57
-0,0015 -56,5
-0,0015 -56
-0,003 -56
-0,0015 -55,5
0 -55,5
0 -55
-0,0015 -55
0,0015 -55
-0,0015 -54,5
0 -54,5
0 -54,5
0 -54,5
0,0015 -54
0 -54
-0,0015 -54
0 -54
-0,0015 -54
0 -54
0,0015 -54
-0,0015 -54
0 -54
0 -54
0 -54
0 -54
-0,0015 -53,5
0 -54
0 -54
0 -54
0 -54
0 -54
0,0015 -54
0 -54
0 -54
0 -54
0 -54
0 -54
0,006 -53,5
0,0135 -51,5
0,021 -48,5
0,033 -44,5
0,045 -39
0,0615 -32,5
0,0795 -25
0,1005 -15,5
0,12 -6
0,1425 4
0,165 14,5
0,189 25
0,213 36
0,2385 48
0,2655 60,5
0,2925 73
0,3225 86
0,351 99
0,3795 112,5
0,408 125
0,4365 138
0,4635 151,5
0,4935 164
0,522 177,5
0,5535 190
0,5865 204,5
0,6135 218
0,6435 231
0,675 244
0,705 257
0,735 270
0,765 283
0,7965 296
0,8265 309
0,858 322
0,891 335,5
0,924 348,5
0,9555 361,5
0,9855 375
1,0185 388
1,0485 401
1,08 412,5
