MIN=0	-10	-10	0	0	0	
MAX=28,28427125	10	10	60	12	5	
SCALE=10	5	5	10	5	1	
DEC=1	2	2	1	1	3	
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V	"grid voltage" U_s	"amp voltage" f(U_s) / V	"Frequenz" f / Hz	
0	0,055	0,005	0,05	0,055	NAN	
0,1	0,065	0,01	0,1	0,065	NAN	
0,2	0,055	0,035	0,35	0,055	NAN	
0,3	0,06	0,06	0,6	0,06	NAN	
0,4	0,055	0,085	0,85	0,055	NAN	
0,5	0,065	0,11	1,1	0,065	NAN	
0,6	0,06	0,13	1,3	0,06	NAN	
0,7	0,07	0,155	1,55	0,07	NAN	
0,8	0,055	0,185	1,85	0,055	NAN	
0,9	0,07	0,2	2	0,07	NAN	
1	0,055	0,23	2,3	0,055	NAN	
1,1	0,065	0,25	2,5	0,065	NAN	
1,2	0,055	0,275	2,75	0,055	NAN	
1,3	0,065	0,295	2,95	0,065	NAN	
1,4	0,06	0,32	3,2	0,06	NAN	
1,5	0,065	0,345	3,45	0,065	NAN	
1,6	0,06	0,37	3,7	0,06	NAN	
1,7	0,07	0,395	3,95	0,07	NAN	
1,8	0,07	0,42	4,2	0,07	NAN	
1,9	0,07	0,445	4,45	0,07	NAN	
2	0,07	0,465	4,65	0,07	NAN	
2,1	0,07	0,49	4,9	0,07	NAN	
2,2	0,065	0,515	5,15	0,065	NAN	
2,3	0,07	0,545	5,45	0,07	NAN	
2,4	0,07	0,56	5,6	0,07	NAN	
2,5	0,07	0,585	5,85	0,07	NAN	
2,6	0,065	0,61	6,1	0,065	NAN	
2,7	0,07	0,635	6,35	0,07	NAN	
2,8	0,07	0,66	6,6	0,07	NAN	
2,9	0,06	0,685	6,85	0,06	NAN	
3	0,065	0,71	7,1	0,065	NAN	
3,1	0,06	0,735	7,35	0,06	NAN	
3,2	0,07	0,75	7,5	0,07	NAN	
3,3	0,06	0,78	7,8	0,06	NAN	
3,4	0,07	0,805	8,05	0,07	NAN	
3,5	0,065	0,825	8,25	0,065	NAN	
3,6	0,07	0,85	8,5	0,07	NAN	
3,7	0,065	0,875	8,75	0,065	NAN	
3,8	0,07	0,9	9	0,07	NAN	
3,9	0,065	0,92	9,2	0,065	NAN	
4	0,07	0,95	9,5	0,07	NAN	
4,1	0,06	0,975	9,75	0,06	NAN	
4,2	0,07	0,995	9,95	0,07	NAN	
4,3	0,06	1,02	10,2	0,06	NAN	
4,4	0,07	1,04	10,4	0,07	NAN	
4,5	0,06	1,065	10,65	0,06	NAN	
4,6	0,07	1,09	10,9	0,07	NAN	
4,7	0,06	1,115	11,15	0,06	NAN	
4,8	0,075	1,14	11,4	0,075	NAN	
4,9	0,065	1,165	11,65	0,065	NAN	
5	0,08	1,185	11,85	0,08	NAN	
5,1	0,065	1,215	12,15	0,065	NAN	
5,2	0,08	1,235	12,35	0,08	NAN	
5,3	0,075	1,26	12,6	0,075	NAN	
5,4	0,085	1,285	12,85	0,085	NAN	
5,5	0,08	1,31	13,1	0,08	NAN	
5,6	0,09	1,335	13,35	0,09	NAN	
5,7	0,085	1,36	13,6	0,085	NAN	
5,8	0,09	1,385	13,85	0,09	NAN	
5,9	0,09	1,41	14,1	0,09	NAN	
6	0,095	1,43	14,3	0,095	NAN	
6,1	0,09	1,455	14,55	0,09	NAN	
6,2	0,095	1,48	14,8	0,095	NAN	
6,3	0,09	1,5	15	0,09	NAN	
6,4	0,1	1,525	15,25	0,1	NAN	
6,5	0,095	1,55	15,5	0,095	NAN	
6,6	0,1	1,57	15,7	0,1	NAN	
6,7	0,1	1,6	16	0,1	NAN	
6,8	0,1	1,62	16,2	0,1	NAN	
6,9	0,105	1,645	16,45	0,105	NAN	
7	0,105	1,675	16,75	0,105	NAN	
