MIN=0	-10	-10	0	0	0	
MAX=28,28427125	10	10	60	12	5	
SCALE=10	5	5	10	5	1	
DEC=1	2	2	1	1	3	
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V	"grid voltage" U_s	"amp voltage" f(U_s) / V	"Frequenz" f / Hz	
0	0,07	0,005	0,05	0,07	NAN	
0,1	0,07	0,005	0,05	0,07	NAN	
0,2	0,065	0,01	0,1	0,065	NAN	
0,3	0,065	0,035	0,35	0,065	NAN	
0,4	0,065	0,055	0,55	0,065	NAN	
0,5	0,07	0,08	0,8	0,07	NAN	
0,6	0,065	0,1	1	0,065	NAN	
0,7	0,07	0,125	1,25	0,07	NAN	
0,8	0,065	0,15	1,5	0,065	NAN	
0,9	0,07	0,175	1,75	0,07	NAN	
1	0,065	0,2	2	0,065	NAN	
1,1	0,07	0,225	2,25	0,07	NAN	
1,2	0,06	0,245	2,45	0,06	NAN	
1,3	0,065	0,265	2,65	0,065	NAN	
1,4	0,06	0,295	2,95	0,06	NAN	
1,5	0,07	0,32	3,2	0,07	NAN	
1,6	0,065	0,34	3,4	0,065	NAN	
1,7	0,07	0,365	3,65	0,07	NAN	
1,8	0,06	0,39	3,9	0,06	NAN	
1,9	0,07	0,41	4,1	0,07	NAN	
2	0,055	0,435	4,35	0,055	NAN	
2,1	0,07	0,46	4,6	0,07	NAN	
2,2	0,06	0,485	4,85	0,06	NAN	
2,3	0,07	0,51	5,1	0,07	NAN	
2,4	0,065	0,535	5,35	0,065	NAN	
2,5	0,075	0,56	5,6	0,075	NAN	
2,6	0,065	0,58	5,8	0,065	NAN	
2,7	0,075	0,605	6,05	0,075	NAN	
2,8	0,07	0,625	6,25	0,07	NAN	
2,9	0,075	0,655	6,55	0,075	NAN	
3	0,075	0,675	6,75	0,075	NAN	
3,1	0,075	0,7	7	0,075	NAN	
3,2	0,07	0,725	7,25	0,07	NAN	
3,3	0,075	0,75	7,5	0,075	NAN	
3,4	0,075	0,775	7,75	0,075	NAN	
3,5	0,075	0,795	7,95	0,075	NAN	
3,6	0,07	0,82	8,2	0,07	NAN	
3,7	0,08	0,845	8,45	0,08	NAN	
3,8	0,075	0,87	8,7	0,075	NAN	
3,9	0,075	0,895	8,95	0,075	NAN	
4	0,075	0,915	9,15	0,075	NAN	
4,1	0,075	0,945	9,45	0,075	NAN	
4,2	0,08	0,965	9,65	0,08	NAN	
4,3	0,075	0,985	9,85	0,075	NAN	
4,4	0,08	1,015	10,15	0,08	NAN	
4,5	0,08	1,035	10,35	0,08	NAN	
4,6	0,085	1,06	10,6	0,085	NAN	
4,7	0,08	1,085	10,85	0,08	NAN	
4,8	0,085	1,11	11,1	0,085	NAN	
4,9	0,09	1,135	11,35	0,09	NAN	
5	0,09	1,155	11,55	0,09	NAN	
5,1	0,095	1,18	11,8	0,095	NAN	
5,2	0,1	1,2	12	0,1	NAN	
5,3	0,095	1,23	12,3	0,095	NAN	
5,4	0,11	1,255	12,55	0,11	NAN	
5,5	0,105	1,28	12,8	0,105	NAN	
5,6	0,115	1,305	13,05	0,115	NAN	
5,7	0,115	1,325	13,25	0,115	NAN	
5,8	0,12	1,345	13,45	0,12	NAN	
5,9	0,12	1,375	13,75	0,12	NAN	
6	0,125	1,4	14	0,125	NAN	
6,1	0,125	1,42	14,2	0,125	NAN	
6,2	0,125	1,445	14,45	0,125	NAN	
6,3	0,13	1,475	14,75	0,13	NAN	
6,4	0,13	1,5	15	0,13	NAN	
6,5	0,13	1,515	15,15	0,13	NAN	
6,6	0,135	1,54	15,4	0,135	NAN	
6,7	0,135	1,565	15,65	0,135	NAN	
6,8	0,14	1,585	15,85	0,14	NAN	
6,9	0,14	1,61	16,1	0,14	NAN	
7	0,15	1,635	16,35	0,15	NAN	
