MIN=0	-10	-10	0	0	0	
MAX=40	10	10	60	12	5	
SCALE=10	5	5	10	5	1	
DEC=1	2	2	1	1	3	
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V	"grid voltage" U_s	"amp voltage" f(U_s) / V	"Frequenz" f / Hz	
0	0,065	0,005	0,05	0,065	NAN	
0,101	0,06	0,01	0,1	0,06	NAN	
0,201	0,065	0,015	0,15	0,065	NAN	
0,301	0,05	0,03	0,3	0,05	NAN	
0,401	0,065	0,045	0,45	0,065	NAN	
0,501	0,05	0,06	0,6	0,05	NAN	
0,601	0,065	0,075	0,75	0,065	NAN	
0,701	0,05	0,09	0,9	0,05	NAN	
0,801	0,065	0,105	1,05	0,065	NAN	
0,901	0,055	0,12	1,2	0,055	NAN	
1,001	0,065	0,135	1,35	0,065	NAN	
1,101	0,055	0,15	1,5	0,055	NAN	
1,201	0,065	0,16	1,6	0,065	NAN	
1,301	0,06	0,18	1,8	0,06	NAN	
1,401	0,065	0,195	1,95	0,065	NAN	
1,501	0,06	0,21	2,1	0,06	NAN	
1,601	0,065	0,22	2,2	0,065	NAN	
1,701	0,055	0,235	2,35	0,055	NAN	
1,801	0,065	0,25	2,5	0,065	NAN	
1,901	0,065	0,26	2,6	0,065	NAN	
2,001	0,065	0,28	2,8	0,065	NAN	
2,101	0,06	0,29	2,9	0,06	NAN	
2,201	0,06	0,31	3,1	0,06	NAN	
2,301	0,06	0,32	3,2	0,06	NAN	
2,401	0,065	0,335	3,35	0,065	NAN	
2,501	0,065	0,35	3,5	0,065	NAN	
2,601	0,055	0,365	3,65	0,055	NAN	
2,701	0,06	0,38	3,8	0,06	NAN	
2,801	0,06	0,395	3,95	0,06	NAN	
2,901	0,065	0,405	4,05	0,065	NAN	
3,001	0,06	0,425	4,25	0,06	NAN	
3,101	0,065	0,435	4,35	0,065	NAN	
3,201	0,065	0,45	4,5	0,065	NAN	
3,301	0,07	0,465	4,65	0,07	NAN	
3,401	0,07	0,48	4,8	0,07	NAN	
3,501	0,075	0,5	5	0,075	NAN	
3,601	0,065	0,515	5,15	0,065	NAN	
3,701	0,08	0,53	5,3	0,08	NAN	
3,801	0,08	0,54	5,4	0,08	NAN	
3,901	0,09	0,555	5,55	0,09	NAN	
4,001	0,09	0,57	5,7	0,09	NAN	
4,101	0,11	0,58	5,8	0,11	NAN	
4,201	0,105	0,59	5,9	0,105	NAN	
4,301	0,12	0,615	6,15	0,12	NAN	
4,401	0,12	0,625	6,25	0,12	NAN	
4,501	0,14	0,64	6,4	0,14	NAN	
4,601	0,135	0,65	6,5	0,135	NAN	
4,701	0,15	0,67	6,7	0,15	NAN	
4,801	0,145	0,685	6,85	0,145	NAN	
4,901	0,155	0,7	7	0,155	NAN	
5,001	0,155	0,715	7,15	0,155	NAN	
5,101	0,165	0,73	7,3	0,165	NAN	
5,201	0,155	0,74	7,4	0,155	NAN	
5,301	0,165	0,755	7,55	0,165	NAN	
5,401	0,16	0,77	7,7	0,16	NAN	
5,501	0,17	0,78	7,8	0,17	NAN	
5,601	0,165	0,795	7,95	0,165	NAN	
5,701	0,165	0,815	8,15	0,165	NAN	
5,801	0,165	0,83	8,3	0,165	NAN	
5,901	0,17	0,84	8,4	0,17	NAN	
6,001	0,165	0,86	8,6	0,165	NAN	
6,101	0,17	0,87	8,7	0,17	NAN	
6,201	0,17	0,89	8,9	0,17	NAN	
6,301	0,175	0,9	9	0,175	NAN	
