MIN=0	-10	-10	0	0	0	
MAX=28,28427125	10	10	60	12	5	
SCALE=10	5	5	10	5	1	
DEC=1	2	2	1	1	3	
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V	"grid voltage" U_s	"amp voltage" f(U_s) / V	"Frequenz" f / Hz	
0	0,07	0,01	0,1	0,07	NAN	
0,1	0,055	0,01	0,1	0,055	NAN	
0,2	0,07	0,005	0,05	0,07	NAN	
0,3	0,06	0,01	0,1	0,06	NAN	
0,4	0,07	0,045	0,45	0,07	NAN	
0,5	0,065	0,06	0,6	0,065	NAN	
0,6	0,07	0,09	0,9	0,07	NAN	
0,7	0,065	0,115	1,15	0,065	NAN	
0,8	0,07	0,14	1,4	0,07	NAN	
0,9	0,065	0,165	1,65	0,065	NAN	
1	0,075	0,185	1,85	0,075	NAN	
1,1	0,07	0,21	2,1	0,07	NAN	
1,2	0,07	0,235	2,35	0,07	NAN	
1,3	0,065	0,26	2,6	0,065	NAN	
1,4	0,07	0,285	2,85	0,07	NAN	
1,5	0,065	0,305	3,05	0,065	NAN	
1,6	0,07	0,33	3,3	0,07	NAN	
1,7	0,065	0,35	3,5	0,065	NAN	
1,8	0,065	0,375	3,75	0,065	NAN	
1,9	0,07	0,405	4,05	0,07	NAN	
2	0,06	0,425	4,25	0,06	NAN	
2,1	0,07	0,455	4,55	0,07	NAN	
2,2	0,06	0,475	4,75	0,06	NAN	
2,3	0,07	0,5	5	0,07	NAN	
2,4	0,065	0,52	5,2	0,065	NAN	
2,5	0,07	0,545	5,45	0,07	NAN	
2,6	0,06	0,565	5,65	0,06	NAN	
2,7	0,065	0,595	5,95	0,065	NAN	
2,8	0,06	0,62	6,2	0,06	NAN	
2,9	0,07	0,645	6,45	0,07	NAN	
3	0,055	0,67	6,7	0,055	NAN	
3,1	0,07	0,69	6,9	0,07	NAN	
3,2	0,065	0,71	7,1	0,065	NAN	
3,3	0,065	0,735	7,35	0,065	NAN	
3,4	0,06	0,76	7,6	0,06	NAN	
3,5	0,065	0,78	7,8	0,065	NAN	
3,6	0,06	0,815	8,15	0,06	NAN	
3,7	0,07	0,835	8,35	0,07	NAN	
3,8	0,06	0,86	8,6	0,06	NAN	
3,9	0,07	0,885	8,85	0,07	NAN	
4	0,06	0,905	9,05	0,06	NAN	
4,1	0,065	0,93	9,3	0,065	NAN	
4,2	0,05	0,955	9,55	0,05	NAN	
4,3	0,065	0,975	9,75	0,065	NAN	
4,4	0,06	1,005	10,05	0,06	NAN	
4,5	0,07	1,025	10,25	0,07	NAN	
4,6	0,055	1,05	10,5	0,055	NAN	
4,7	0,07	1,08	10,8	0,07	NAN	
4,8	0,06	1,1	11	0,06	NAN	
4,9	0,07	1,12	11,2	0,07	NAN	
5	0,065	1,145	11,45	0,065	NAN	
5,1	0,07	1,17	11,7	0,07	NAN	
5,2	0,07	1,19	11,9	0,07	NAN	
5,3	0,075	1,22	12,2	0,075	NAN	
5,4	0,07	1,24	12,4	0,07	NAN	
5,5	0,075	1,265	12,65	0,075	NAN	
5,6	0,07	1,29	12,9	0,07	NAN	
5,7	0,075	1,315	13,15	0,075	NAN	
5,8	0,07	1,335	13,35	0,07	NAN	
5,9	0,075	1,375	13,75	0,075	NAN	
6	0,075	1,395	13,95	0,075	NAN	
6,1	0,07	1,415	14,15	0,07	NAN	
6,2	0,07	1,435	14,35	0,07	NAN	
6,3	0,075	1,455	14,55	0,075	NAN	
6,4	0,075	1,48	14,8	0,075	NAN	
6,5	0,07	1,505	15,05	0,07	NAN	
6,6	0,08	1,535	15,35	0,08	NAN	
6,7	0,07	1,555	15,55	0,07	NAN	
6,8	0,075	1,58	15,8	0,075	NAN	
6,9	0,075	1,6	16	0,075	NAN	
7	0,075	1,625	16,25	0,075	NAN	
