MIN=0	-10	-10	0	0	0	
MAX=28,28427125	10	10	60	12	5	
SCALE=10	5	5	10	5	1	
DEC=1	2	2	1	1	3	
DEF="Zeit" t / s	"Spannung" U_A1 / V	"Spannung" U_B1 / V	"grid voltage" U_s	"amp voltage" f(U_s) / V	"Frequenz" f / Hz	
0	0,065	0,01	0,1	0,065	NAN	
0,1	0,07	0,01	0,1	0,07	NAN	
0,2	0,065	0,01	0,1	0,065	NAN	
0,3	0,07	0,025	0,25	0,07	NAN	
0,4	0,065	0,04	0,4	0,065	NAN	
0,5	0,07	0,065	0,65	0,07	NAN	
0,6	0,07	0,085	0,85	0,07	NAN	
0,7	0,07	0,1	1	0,07	NAN	
0,8	0,065	0,125	1,25	0,065	NAN	
0,9	0,07	0,14	1,4	0,07	NAN	
1	0,065	0,155	1,55	0,065	NAN	
1,1	0,07	0,175	1,75	0,07	NAN	
1,2	0,07	0,2	2	0,07	NAN	
1,3	0,07	0,215	2,15	0,07	NAN	
1,4	0,07	0,235	2,35	0,07	NAN	
1,5	0,065	0,255	2,55	0,065	NAN	
1,6	0,07	0,27	2,7	0,07	NAN	
1,7	0,065	0,295	2,95	0,065	NAN	
1,8	0,07	0,31	3,1	0,07	NAN	
1,9	0,07	0,33	3,3	0,07	NAN	
2	0,07	0,35	3,5	0,07	NAN	
2,1	0,065	0,365	3,65	0,065	NAN	
2,2	0,07	0,39	3,9	0,07	NAN	
2,3	0,07	0,415	4,15	0,07	NAN	
2,4	0,07	0,425	4,25	0,07	NAN	
2,5	0,07	0,445	4,45	0,07	NAN	
2,6	0,075	0,465	4,65	0,075	NAN	
2,7	0,07	0,485	4,85	0,07	NAN	
2,8	0,075	0,51	5,1	0,075	NAN	
2,9	0,07	0,525	5,25	0,07	NAN	
3	0,075	0,54	5,4	0,075	NAN	
3,1	0,08	0,56	5,6	0,08	NAN	
3,2	0,085	0,58	5,8	0,085	NAN	
3,3	0,08	0,595	5,95	0,08	NAN	
3,4	0,09	0,615	6,15	0,09	NAN	
3,5	0,09	0,64	6,4	0,09	NAN	
3,6	0,1	0,655	6,55	0,1	NAN	
3,7	0,1	0,675	6,75	0,1	NAN	
3,8	0,105	0,695	6,95	0,105	NAN	
3,9	0,105	0,72	7,2	0,105	NAN	
4	0,115	0,735	7,35	0,115	NAN	
4,1	0,115	0,755	7,55	0,115	NAN	
4,2	0,12	0,77	7,7	0,12	NAN	
4,3	0,115	0,795	7,95	0,115	NAN	
4,4	0,12	0,81	8,1	0,12	NAN	
4,5	0,12	0,835	8,35	0,12	NAN	
4,6	0,115	0,845	8,45	0,115	NAN	
4,7	0,12	0,87	8,7	0,12	NAN	
4,8	0,12	0,89	8,9	0,12	NAN	
4,9	0,125	0,91	9,1	0,125	NAN	
5	0,12	0,925	9,25	0,12	NAN	
5,1	0,125	0,95	9,5	0,125	NAN	
5,2	0,13	0,96	9,6	0,13	NAN	
5,3	0,14	0,985	9,85	0,14	NAN	
5,4	0,155	1	10	0,155	NAN	
5,5	0,165	1,025	10,25	0,165	NAN	
5,6	0,18	1,04	10,4	0,18	NAN	
5,7	0,2	1,06	10,6	0,2	NAN	
5,8	0,23	1,085	10,85	0,23	NAN	
5,9	0,255	1,1	11	0,255	NAN	
6	0,27	1,115	11,15	0,27	NAN	
6,1	0,29	1,14	11,4	0,29	NAN	
6,2	0,29	1,155	11,55	0,29	NAN	
6,3	0,285	1,175	11,75	0,285	NAN	
6,4	0,28	1,2	12	0,28	NAN	
6,5	0,265	1,215	12,15	0,265	NAN	
6,6	0,25	1,235	12,35	0,25	NAN	
6,7	0,235	1,255	12,55	0,235	NAN	
6,8	0,215	1,28	12,8	0,215	NAN	
6,9	0,2	1,295	12,95	0,2	NAN	
7	0,185	1,31	13,1	0,185	NAN	
