# U/V   I/nA
0.0 3.2
0.1 2.6
0.2 2.3
0.3 1.75
0.4 1.35
0.5 0.96
0.6 0.6
0.7 0.27
0.8 -0.02
0.9 -0.32
1.0 -0.52
1.1 -0.68
1.2 -0.8
1.3 -0.9
1.4 -0.94
1.5 -0.94

1.5 -0.94
1.4 -0.92
1.3 -0.88
1.2 -0.8
1.1 -0.67
1.0 -0.51
0.9 -0.26
0.8 -0.01
0.7 0.27
0.6 0.68
0.5 1.03
0.4 1.325
0.3 1.82
0.2 2.2
0.1 2.6
0.0 3.08
