# U/V   I/nA
0.0 10.8
0.1 9.5
0.2 8
0.3 7.1
0.4 5.6
0.5 4.45
0.6 3.36
0.7 2.37
0.8 1.64
0.9 0.65
1.0 -0.23
1.1 -0.83
1.2 -1.32
1.3 -1.7
1.4 -2.01
1.5 -2.18
1.6 -2.25
1.7 -2.27
1.8 -2.29
1.9 -2.3
2.0 -2.34
#
2.0 -2.33
1.9 -2.31
1.8 -2.29
1.7 -2.27
1.6 -2.23
1.5 -2.16
1.4 -1.96
1.3 -1.67
1.2 -1.3
1.1 -0.72
1.0 -0.1
0.9 0.62
0.8 1.44
0.7 2.5
0.6 3.58
0.5 4.68
0.4 5.6
0.3 6.9
0.2 8.1
0.1 9.3
