"TIME","CH1","CH2"
-1.9328e-06,0.160938,0.44125
-1.9324e-06,0.075,0.43875
-1.9320e-06,0.081875,0.440938
-1.9316e-06,0.12,0.483125
-1.9312e-06,0.12,0.516563
-1.9308e-06,0.159688,0.44125
-1.9304e-06,0.12125,0.519375
-1.9300e-06,0.0796875,0.400938
-1.9296e-06,0.12,0.479063
-1.9292e-06,0.080625,0.440625
-1.9288e-06,0.115,0.40125
-1.9284e-06,0.163438,0.35875
-1.9280e-06,0.120313,0.437188
-1.9276e-06,0.159375,0.437188
-1.9272e-06,0,0.401563
-1.9268e-06,0.04125,0.482188
-1.9264e-06,0.160312,0.4375
-1.9260e-06,0.16,0.358125
-1.9256e-06,0.07875,0.556563
-1.9252e-06,0.0809375,0.523438
-1.9248e-06,0.12,0.443438
-1.9244e-06,0.0784375,0.280625
-1.9240e-06,0.0396875,0.361563
-1.9236e-06,0.12,0.5225
-1.9232e-06,0.120625,0.475938
-1.9228e-06,0.04,0.400313
-1.9224e-06,0.080625,0.44
-1.9220e-06,0.20125,0.4
-1.9216e-06,0.154062,0.439063
-1.9212e-06,0.124375,0.440625
-1.9208e-06,0.151875,0.399063
-1.9204e-06,0.086875,0.435625
-1.9200e-06,0.245313,0.241563
-1.9196e-06,0.151875,0.485625
-1.9192e-06,0.119687,0.354375
-1.9188e-06,0.12,0.446563
-1.9184e-06,0.119687,0.437813
-1.9180e-06,0.04125,0.399688
-1.9176e-06,-0.0003125,0.360938
-1.9172e-06,0.000625,0.317188
-1.9168e-06,0.041875,0.438438
-1.9164e-06,0.0834375,0.4
-1.9160e-06,0.162188,0.399688
-1.9156e-06,0.158438,0.403438
-1.9152e-06,0.12,0.477188
-1.9148e-06,0.124375,0.313438
-1.9144e-06,0.04125,0.324063
-1.9140e-06,0.044375,0.3625
-1.9136e-06,-0.04125,0.486563
-1.9132e-06,0.11875,0.5975
-1.9128e-06,0.120313,0.4
-1.9124e-06,0.199063,0.481563
-1.9120e-06,0.079375,0.47875
-1.9116e-06,0.16,0.48
-1.9112e-06,0.122813,0.435625
-1.9108e-06,0.07875,0.36
-1.9104e-06,0.15875,0.444688
-1.9100e-06,0.0840625,0.478438
-1.9096e-06,0.000625,0.44
-1.9092e-06,0.1225,0.48
-1.9088e-06,0.118125,0.439375
-1.9084e-06,0.120313,0.360938
-1.9080e-06,0.0715625,0.360313
-1.9076e-06,0.05,0.4425
-1.9072e-06,0.200312,0.484688
-1.9068e-06,0.0784375,0.514375
-1.9064e-06,0.160625,0.395
-1.9060e-06,0.0803125,0.448125
-1.9056e-06,0.04,0.520938
-1.9052e-06,0.04,0.476875
-1.9048e-06,0.08,0.39875
-1.9044e-06,0.0375,0.4
-1.9040e-06,0.0415625,0.400313
-1.9036e-06,0.12,0.398125
-1.9032e-06,0.0796875,0.360625
-1.9028e-06,0.161563,0.4475
-1.9024e-06,0.0428125,0.476875
-1.9020e-06,0.118125,0.398438
-1.9016e-06,0.0428125,0.4775
-1.9012e-06,0.07875,0.566563
-1.9008e-06,0.0415625,0.361875
-1.9004e-06,0.0403125,0.4775
-1.9000e-06,0.08,0.399688
-1.8996e-06,0.0815625,0.517813
-1.8992e-06,0.119063,0.440938
-1.8988e-06,0.04,0.482813
-1.8984e-06,0.16,0.559375
-1.8980e-06,0.039375,0.476875
-1.8976e-06,0.159688,0.48
-1.8972e-06,0.04,0.44
-1.8968e-06,0.160625,0.44125
-1.8964e-06,0.0771875,0.397813
-1.8960e-06,0.125625,0.480625
-1.8956e-06,0.157813,0.4
-1.8952e-06,0.069375,0.48
-1.8948e-06,0.0009375,0.442188
-1.8944e-06,0.08375,0.55625
-1.8940e-06,0.119687,0.307813
-1.8936e-06,0.08,0.368438
-1.8932e-06,0.161563,0.439375
-1.8928e-06,0.116875,0.442188
-1.8924e-06,0.00125,0.56
-1.8920e-06,0.124375,0.4825
-1.8916e-06,0.122188,0.4825
-1.8912e-06,0.152813,0.599375
-1.8908e-06,-0.041875,0.395313
-1.8904e-06,0.078125,0.440938
-1.8900e-06,0.11875,0.355625
-1.8896e-06,0.163125,0.40375
-1.8892e-06,0.0496875,0.479375
-1.8888e-06,0.0378125,0.52
-1.8884e-06,0.07625,0.485
-1.8880e-06,0.160938,0.438438
-1.8876e-06,-0.000625,0.48
-1.8872e-06,0.12,0.40625
-1.8868e-06,0.28,0.395313
-1.8864e-06,0.003125,0.599063
-1.8860e-06,0.1125,0.481875
-1.8856e-06,0.238125,0.44
-1.8852e-06,0.207187,0.44
-1.8848e-06,0.0846875,0.402188
-1.8844e-06,0.0425,0.395938
-1.8840e-06,0,0.481563
-1.8836e-06,0.122813,0.39875
-1.8832e-06,0.200937,0.482813
-1.8828e-06,0.198438,0.396563
-1.8824e-06,0.116875,0.59875
-1.8820e-06,0.081875,0.440938
-1.8816e-06,0.239688,0.56125
-1.8812e-06,0.16375,0.481563
-1.8808e-06,0.15625,0.39875
-1.8804e-06,0.239688,0.520625
-1.8800e-06,0.1175,0.366563
-1.8796e-06,0.0409375,0.465313
-1.8792e-06,0.16,0.603125
-1.8788e-06,0.03625,0.40625
-1.8784e-06,0.041875,0.433438
-1.8780e-06,0.0803125,0.51875
-1.8776e-06,0.0753125,0.319375
