# d1/sktkco1	comon	t/s	n_norm
50	1996	1023	513	1.951124145
60	1237	633	330	1.954186414
70	1794	1000	528	1.794
80	1602	911	522	1.758507135
90	1559	1042	513	1.496161228
100	1200	869	446	1.380897583
110	1233	1040	461	1.185576923
110	1267	1043	485	1.214765101
120	1155	1062	545	1.087570621
130	1284	1449	754	0.886128364
140	870	1037	453	0.838958534
150	837	1109	513	0.754733995
160	784	1142	478	0.686514886
170	1018	1669	11.28	0.609946075
180	701	1891	8.01	0.370703332
190	789	1614	10.49	0.488847584
200	699	1603	10.17	0.436057392
210	389	1000	6.24	0.389
