"Probe" "Untergrund"
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	1
29	33
187	207
564	730
996	966
1017	1053
989	991
968	985
1034	1076
997	962
977	981
1023	960
1003	986
981	992
988	1022
914	1003
970	967
1002	947
983	966
965	879
961	948
992	967
938	917
932	942
934	928
949	939
938	943
965	964
912	991
950	939
979	936
916	878
926	891
906	891
912	913
959	927
945	869
897	881
905	909
877	855
885	846
868	920
798	882
890	859
859	881
847	885
861	866
854	922
868	839
861	898
856	815
874	827
867	866
817	828
868	880
833	858
859	829
861	801
879	819
771	815
826	846
818	790
906	813
808	812
828	788
838	833
792	788
847	819
769	809
853	787
813	766
852	769
815	789
778	766
801	800
816	768
779	799
798	724
809	742
791	769
786	709
783	766
809	808
727	711
749	756
794	745
767	701
740	794
749	711
780	696
710	722
738	765
738	702
772	702
774	709
772	722
766	706
686	697
740	729
745	703
727	712
762	719
762	702
693	697
695	699
693	690
694	685
704	720
692	664
722	704
699	673
669	672
759	715
690	695
707	746
747	677
721	686
698	688
659	659
691	700
679	648
650	664
706	652
691	636
705	625
733	667
694	660
671	695
664	682
671	617
664	622
709	662
714	620
664	667
698	680
675	608
632	605
686	653
687	608
674	655
639	649
703	598
664	629
670	620
660	644
712	643
683	617
667	652
723	656
610	629
679	643
666	614
644	624
652	609
667	655
626	635
609	588
645	641
627	639
