"TIME","CH1","CH2"
-4.8510e-06,0.04,0.319688
-4.8500e-06,0,0.32
-4.8490e-06,0.0396875,0.359063
-4.8480e-06,0.000625,0.4
-4.8470e-06,0.12125,0.359687
-4.8460e-06,0.119375,0.400312
-4.8450e-06,0.039375,0.32
-4.8440e-06,-0.0003125,0.399688
-4.8430e-06,0,0.359375
-4.8420e-06,0.0003125,0.44
-4.8410e-06,0.0778125,0.319375
-4.8400e-06,0.2,0.32
-4.8390e-06,0.0803125,0.279688
-4.8380e-06,0.0809375,0.32
-4.8370e-06,0.119687,0.278437
-4.8360e-06,0.0403125,0.52
-4.8350e-06,0.200937,0.52125
-4.8340e-06,0.119687,0.19875
-4.8330e-06,0.159063,0.4
-4.8320e-06,-0.08,0.439375
-4.8310e-06,0.0403125,0.4
-4.8300e-06,0.04,0.319688
-4.8290e-06,-0.0025,0.359063
-4.8280e-06,0.0834375,0.36125
-4.8270e-06,-0.0403125,0.27875
-4.8260e-06,0.15875,0.44
-4.8250e-06,0.08,0.279375
-4.8240e-06,0.04125,0.32
-4.8230e-06,0.160312,0.279688
-4.8220e-06,0.0775,0.402188
-4.8210e-06,0.0390625,0.44
-4.8200e-06,-0.040625,0.4
-4.8190e-06,0.0015625,0.44
-4.8180e-06,0.0809375,0.398438
-4.8170e-06,0.08,0.36
-4.8160e-06,-0.0396875,0.39875
-4.8150e-06,-0.0446875,0.279688
-4.8140e-06,0.04,0.399375
-4.8130e-06,0,0.400312
-4.8120e-06,0.08,0.4
-4.8110e-06,0.04,0.400312
-4.8100e-06,0.0409375,0.36
-4.8090e-06,0.12,0.439687
-4.8080e-06,0.07875,0.4
-4.8070e-06,0.0803125,0.439063
-4.8060e-06,0.079375,0.440625
-4.8050e-06,0.0396875,0.360312
-4.8040e-06,0.04,0.4
-4.8030e-06,0.08,0.4
-4.8020e-06,0.0403125,0.359687
-4.8010e-06,0.039375,0.44
-4.8000e-06,0.08,0.277813
-4.7990e-06,0.08,0.279375
-4.7980e-06,0.081875,0.44
-4.7970e-06,0.199063,0.32
-4.7960e-06,-0.041875,0.32
-4.7950e-06,0.0809375,0.32
-4.7940e-06,-0.0003125,0.401563
-4.7930e-06,0.0803125,0.48
-4.7920e-06,0.0403125,0.399375
-4.7910e-06,0.160625,0.440313
-4.7900e-06,0.0796875,0.399062
-4.7890e-06,0.08375,0.400938
-4.7880e-06,-0.0409375,0.24375
-4.7870e-06,0.119063,0.234063
-4.7860e-06,0,0.439687
-4.7850e-06,0.0403125,0.319688
-4.7840e-06,0.119063,0.520625
-4.7830e-06,0,0.362188
-4.7820e-06,0.160938,0.320625
-4.7810e-06,0.119687,0.320313
-4.7800e-06,0.11875,0.28
-4.7790e-06,0.04,0.319375
-4.7780e-06,0.120938,0.32
-4.7770e-06,0.0825,0.319063
-4.7760e-06,-0.0396875,0.439375
-4.7750e-06,0.038125,0.437188
-4.7740e-06,0.0790625,0.521875
-4.7730e-06,0.120625,0.280625
-4.7720e-06,0.07875,0.438125
-4.7710e-06,0.159688,0.403437
-4.7700e-06,0.04,0.280938
-4.7690e-06,-0.04,0.277188
-4.7680e-06,0.0003125,0.439375
-4.7670e-06,0.08,0.44
-4.7660e-06,0.120625,0.44125
-4.7650e-06,0.0403125,0.320625
-4.7640e-06,0.0790625,0.398438
-4.7630e-06,0.08,0.440937
-4.7620e-06,0.0809375,0.439375
-4.7610e-06,0.000625,0.52
-4.7600e-06,0.038125,0.44
-4.7590e-06,0.118437,0.43875
-4.7580e-06,0.160625,0.48
-4.7570e-06,0.08,0.401563
-4.7560e-06,0.119375,0.279375
