# "TIME" "CH1" "CH2" 
-9.642e-05 -0.01 0.1 
-9.640e-05 -0.01 -0.1 
-9.638e-05 -0.014 0.3 
-9.636e-05 -0.012 -0.2 
-9.634e-05 -0.008 0 
-9.632e-05 -0.006 0.3 
-9.630e-05 -0.014 0.1 
-9.628e-05 -0.012 -0.1 
-9.626e-05 -0.004 0.3 
-9.624e-05 -0.008 0 
-9.622e-05 -0.01 0.1 
-9.620e-05 -0.006 -0.1 
-9.618e-05 -0.008 0.2 
-9.616e-05 -0.006 -0.1 
-9.614e-05 -0.02 0 
-9.612e-05 -0.012 0.2 
-9.610e-05 -0.012 0 
-9.608e-05 -0.008 -0.1 
-9.606e-05 -0.014 0 
-9.604e-05 -0.012 0.1 
-9.602e-05 -0.01 0.2 
-9.600e-05 -0.012 0.1 
-9.598e-05 -0.008 0.1 
-9.596e-05 -0.006 0 
-9.594e-05 -0.01 0.1 
-9.592e-05 -0.01 0 
-9.590e-05 -0.004 0.1 
-9.588e-05 -0.004 -0.2 
-9.586e-05 -0.016 0.1 
-9.584e-05 -0.008 0 
-9.582e-05 -0.008 -0.3 
-9.580e-05 -0.012 -0.1 
-9.578e-05 -0.008 0.1 
-9.576e-05 -0.018 0.1 
-9.574e-05 -0.01 0.2 
-9.572e-05 -0.01 0.2 
-9.570e-05 -0.014 0.2 
-9.568e-05 -0.018 0.1 
-9.566e-05 -0.008 0.1 
-9.564e-05 -0.018 0.1 
-9.562e-05 -0.01 -0.1 
-9.560e-05 -0.018 0.2 
-9.558e-05 -0.014 0 
-9.556e-05 -0.01 0.2 
-9.554e-05 -0.014 -0.1 
-9.552e-05 -0.012 0 
-9.550e-05 -0.008 0.2 
-9.548e-05 -0.016 -0.3 
-9.546e-05 -0.012 0.1 
-9.544e-05 -0.004 0.1 
-9.542e-05 -0.014 0.2 
-9.540e-05 -0.01 -0.1 
-9.538e-05 -0.014 0 
-9.536e-05 -0.016 -0.3 
-9.534e-05 -0.012 0 
-9.532e-05 -0.014 -0.3 
-9.530e-05 -0.01 0.5 
-9.528e-05 -0.014 0.4 
-9.526e-05 -0.016 0.1 
-9.524e-05 -0.012 0 
-9.522e-05 -0.006 0.1 
-9.520e-05 -0.01 -0.1 
-9.518e-05 -0.008 0.2 
-9.516e-05 -0.01 0.2 
-9.514e-05 -0.01 -0.1 
-9.512e-05 -0.008 -0.3 
-9.510e-05 -0.016 0.1 
-9.508e-05 -0.012 0.2 
-9.506e-05 -0.006 -0.2 
-9.504e-05 -0.012 0 
-9.502e-05 -0.014 0.2 
-9.500e-05 -0.008 0.1 
-9.498e-05 -0.008 0.2 
-9.496e-05 -0.018 0.1 
-9.494e-05 -0.01 0 
-9.492e-05 -0.012 0.1 
-9.490e-05 -0.014 0.1 
-9.488e-05 -0.006 0.1 
-9.486e-05 -0.002 0.1 
-9.484e-05 -0.008 0 
-9.482e-05 -0.01 0 
-9.480e-05 -0.012 -0.1 
-9.478e-05 -0.014 0 
-9.476e-05 -0.014 0 
-9.474e-05 -0.018 0.2 
-9.472e-05 -0.008 0 
-9.470e-05 -0.008 -0.1 
-9.468e-05 -0.014 0.1 
-9.466e-05 -0.014 0 
-9.464e-05 -0.008 0.3 
-9.462e-05 -0.008 0.1 
-9.460e-05 -0.01 0 
-9.458e-05 -0.008 0.1 
-9.456e-05 -0.016 0 
-9.454e-05 -0.01 0.1 
-9.452e-05 -0.014 0.2 
-9.450e-05 -0.01 0.2 
-9.448e-05 -0.01 -0.1 
-9.446e-05 -0.01 0 
-9.444e-05 -0.01 0 
-9.442e-05 -0.012 0.2 
-9.440e-05 -0.02 -0.1 
-9.438e-05 -0.018 0.1 
-9.436e-05 -0.014 0 
-9.434e-05 -0.01 0.3 
-9.432e-05 -0.012 0 
-9.430e-05 -0.006 0 
-9.428e-05 -0.018 0.1 
-9.426e-05 -0.014 0 
-9.424e-05 -0.014 0.3 
-9.422e-05 -0.01 0.4 
-9.420e-05 -0.018 0.1 
-9.418e-05 -0.022 -0.2 
-9.416e-05 -0.01 0.1 
-9.414e-05 -0.006 -0.1 
-9.412e-05 -0.01 0 
-9.410e-05 -0.02 0.1 
-9.408e-05 -0.01 -0.3 
-9.406e-05 -0.012 0.2 
-9.404e-05 -0.018 0.1 
-9.402e-05 -0.012 0.4 
-9.400e-05 -0.012 0 
-9.398e-05 -0.014 0 
-9.396e-05 -0.02 0 
-9.394e-05 -0.006 -0.1 
-9.392e-05 -0.008 0.2 
-9.390e-05 -0.012 -0.1 
-9.388e-05 -0.008 0.1 
-9.386e-05 -0.014 0.1 
-9.384e-05 -0.014 0 
-9.382e-05 -0.016 0.1 
-9.380e-05 -0.01 0.2 
-9.378e-05 -0.014 0.4 
-9.376e-05 -0.002 0.5 
-9.374e-05 -0.012 0 
-9.372e-05 -0.008 0.1 
-9.370e-05 -0.002 -0.1 
-9.368e-05 -0.01 -0.1 
-9.366e-05 -0.014 0 
-9.364e-05 -0.01 -0.2 
-9.362e-05 -0.018 -0.1 
-9.360e-05 -0.01 0 
-9.358e-05 -0.014 0.2 
-9.356e-05 -0.01 0.1 
-9.354e-05 -0.01 0.2 
-9.352e-05 -0.01 0.1 
-9.350e-05 -0.014 0.1 
-9.348e-05 -0.008 0 
-9.346e-05 -0.008 0 
-9.344e-05 -0.006 0.1 
-9.342e-05 -0.014 0 
-9.340e-05 -0.004 0.1 
-9.338e-05 -0.012 0 
-9.336e-05 -0.01 0.5 
-9.334e-05 -0.004 0.1 
-9.332e-05 -0.008 0.1 
-9.330e-05 -0.014 -0.1 
-9.328e-05 -0.006 0.2 
-9.326e-05 -0.012 0.1 
-9.324e-05 -0.01 0 
-9.322e-05 -0.008 -0.2 
-9.320e-05 -0.016 0.2 
-9.318e-05 -0.02 0.1 
-9.316e-05 -0.004 0.3 
-9.314e-05 -0.012 0 
-9.312e-05 -0.014 0 
-9.310e-05 -0.006 -0.1 
-9.308e-05 -0.01 0 
-9.306e-05 -0.012 -0.1 
-9.304e-05 -0.002 0.2 
-9.302e-05 -0.008 0.2 
-9.300e-05 -0.014 0.2 
-9.298e-05 -0.008 0.2 
-9.296e-05 -0.02 -0.1 
-9.294e-05 -0.014 0 
-9.292e-05 -0.018 0.2 
-9.290e-05 -0.01 0 
-9.288e-05 -0.012 -0.3 
-9.286e-05 -0.01 0 
-9.284e-05 -0.012 0 
-9.282e-05 -0.004 0.1 
-9.280e-05 -0.006 -0.1 
-9.278e-05 -0.016 0.3 
-9.276e-05 -0.012 0.1 
-9.274e-05 -0.014 0.1 
-9.272e-05 -0.012 -0.1 
-9.270e-05 -0.01 0 
-9.268e-05 -0.01 0.2 
-9.266e-05 -0.006 0.1 
-9.264e-05 -0.018 0.1 
-9.262e-05 -0.01 -0.1 
-9.260e-05 -0.01 0.3 
-9.258e-05 -0.004 0.1 
-9.256e-05 -0.012 0.6 
-9.254e-05 -0.012 0 
-9.252e-05 -0.016 0.2 
-9.250e-05 -0.012 -0.2 
-9.248e-05 -0.014 0.1 
-9.246e-05 -0.014 0.1 
-9.244e-05 -0.01 0.1 
-9.242e-05 -0.014 -0.2 
-9.240e-05 -0.014 0.2 
-9.238e-05 -0.006 0.3 
-9.236e-05 -0.014 0 
-9.234e-05 -0.01 0.3 
-9.232e-05 -0.008 0.1 
-9.230e-05 -0.016 0.1 
-9.228e-05 -0.018 0 
-9.226e-05 -0.016 0.1 
-9.224e-05 -0.008 0.2 
-9.222e-05 -0.014 -0.1 
-9.220e-05 -0.012 0.2 
-9.218e-05 -0.012 0.1 
-9.216e-05 -0.018 -0.1 
-9.214e-05 -0.01 0.1 
-9.212e-05 -0.014 0.1 
-9.210e-05 -0.004 -0.1 
-9.208e-05 -0.01 0 
-9.206e-05 -0.01 0.4 
-9.204e-05 -0.012 -0.2 
-9.202e-05 -0.016 0.1 
-9.200e-05 -0.002 0.1 
-9.198e-05 -0.012 0.1 
-9.196e-05 -0.012 0.1 
-9.194e-05 -0.012 0.1 
-9.192e-05 -0.014 -0.1 
-9.190e-05 -0.016 0.2 
-9.188e-05 -0.01 0.1 
-9.186e-05 -0.01 0.2 
-9.184e-05 -0.012 0 
-9.182e-05 -0.016 -0.2 
-9.180e-05 -0.016 0 
-9.178e-05 -0.012 0.1 
-9.176e-05 -0.016 0.1 
-9.174e-05 -0.012 -0.2 
-9.172e-05 -0.008 0 
-9.170e-05 -0.004 0.1 
-9.168e-05 -0.018 0.3 
-9.166e-05 -0.006 0 
-9.164e-05 -0.016 -0.2 
-9.162e-05 -0.012 0 
-9.160e-05 -0.012 0.1 
-9.158e-05 -0.01 0.2 
-9.156e-05 -0.016 -0.2 
-9.154e-05 -0.014 0.2 
-9.152e-05 -0.014 0.3 
-9.150e-05 0 0.1 
-9.148e-05 -0.014 0.2 
-9.146e-05 -0.014 0.2 
-9.144e-05 -0.016 0.1 
-9.142e-05 -0.004 0.3 
-9.140e-05 -0.012 0 
-9.138e-05 -0.01 0 
-9.136e-05 -0.008 0.2 
-9.134e-05 -0.008 0.1 
-9.132e-05 -0.012 0 
-9.130e-05 -0.004 -0.1 
-9.128e-05 -0.012 0.2 
-9.126e-05 -0.01 0.1 
-9.124e-05 -0.004 0.2 
-9.122e-05 -0.012 0.2 
-9.120e-05 -0.012 0.1 
-9.118e-05 -0.004 0 
-9.116e-05 -0.01 -0.1 
-9.114e-05 -0.012 -0.1 
-9.112e-05 -0.01 -0.1 
-9.110e-05 -0.004 0 
-9.108e-05 -0.012 -0.1 
-9.106e-05 -0.018 0.1 
-9.104e-05 -0.012 0.4 
-9.102e-05 -0.002 0.2 
-9.100e-05 -0.01 0.1 
-9.098e-05 -0.01 0 
-9.096e-05 -0.006 0.1 
-9.094e-05 -0.018 0 
-9.092e-05 -0.008 0 
-9.090e-05 -0.012 0 
-9.088e-05 -0.012 0.2 
-9.086e-05 -0.006 -0.1 
-9.084e-05 -0.01 0.3 
-9.082e-05 -0.004 0 
-9.080e-05 -0.006 0 
-9.078e-05 -0.006 0.2 
-9.076e-05 -0.014 0.1 
-9.074e-05 -0.008 0.2 
-9.072e-05 -0.008 0.1 
-9.070e-05 -0.01 0.1 
-9.068e-05 -0.006 0.3 
-9.066e-05 -0.012 0 
-9.064e-05 -0.014 0 
