# I/mA  U/mV
0       2.71
0.14    2.70
0.203   2.70
0.726   2.67
1.120   2.64
1.708   2.59
2.31    2.54
2.61    2.51
3.25    2.41
3.56    2.37
3.98    2.26
4.31    2.17
4.49    2.06
4.62    1.88
4.69    1.64
4.84    1.23
4.75    1.38
5.03    1.11
5.23    0.95
5.36    0.80
5.55    0.12
5.6     0.013
