# I/mA  U/mV
0       2.16
0.103   2.03
0.150   1.885
0.190   1.532
0.220   1.311
0.265   1.089
0.317   0.937
0.437   0.785
0.491   0.749
0.562   0.714
0.660   0.680
0.724   0.660
0.868   0.626
1.117   0.580
1.225   0.561
1.515   0.521
2.1     0.446
2.67    0.375
2.94    0.341
3.45    0.263
3.95    0.164
4.22    0.084
4.31    0.048
4.4     0.010


