7.6861	1.46	0.16	0.27	1.20	0.19	0.22	30.70	17.80	-3.00	10.00
7.7417	1.46	0.16	0.27	1.20	0.16	0.22	30.70	17.80	-3.00	10.00
7.7972	1.63	0.20	0.38	1.29	0.19	0.30	30.70	17.80	-3.00	10.00
7.8528	1.89	0.24	0.52	1.55	0.23	0.43	30.70	17.80	-3.00	20.00
7.9222	2.15	0.31	0.79	1.81	0.31	0.67	30.70	17.80	-3.00	30.00
8.0056	1.89	0.24	0.52	1.55	0.23	0.43	30.70	17.80	-1.00	20.00
8.0889	1.72	0.24	0.48	1.46	0.19	0.40	30.70	19.80	-1.00	20.00
8.1722	1.98	0.27	0.64	1.63	0.23	0.53	30.70	17.80	-3.00	30.00
8.2556	1.89	0.27	0.61	1.63	0.23	0.53	30.70	19.80	-1.00	30.00
8.3389	1.63	0.20	0.38	1.38	0.19	0.32	30.70	19.80	-1.00	20.00
8.4222	1.63	0.20	0.38	1.38	0.19	0.32	30.70	17.80	-3.00	20.00
9.7697	2.49	0.39	1.15	2.15	0.35	0.99	32.70	21.80	1.00	40.00
9.8394	2.67	0.43	1.35	2.41	0.43	1.22	32.70	21.80	1.00	50.00
9.9228	3.96	0.71	3.29	3.78	0.74	3.14	32.70	21.80	1.00	90.00
10.0061	4.64	0.86	4.71	4.30	0.82	4.37	34.70	21.80	1.00	110.00
10.0894	5.59	1.06	6.96	4.99	0.97	6.21	32.70	23.80	3.00	120.00
10.1728	4.47	0.82	4.33	4.21	0.82	4.08	32.70	23.80	3.00	100.00
10.2561	4.13	0.75	3.62	3.96	0.74	3.47	34.70	23.80	3.00	90.00
10.3394	3.78	0.67	2.97	3.53	0.66	2.77	34.70	23.80	3.00	90.00
10.4228	4.56	0.82	4.42	4.30	0.85	4.17	34.70	23.80	3.00	110.00
10.5061	4.82	0.90	5.11	4.64	0.89	4.93	34.70	23.80	1.00	110.00
10.5894	4.39	0.78	4.05	4.04	0.78	3.73	34.70	23.80	3.00	100.00
10.6728	4.82	0.90	5.11	4.56	0.85	4.84	34.70	23.80	3.00	120.00
10.7561	5.42	1.02	6.50	5.07	0.97	6.09	34.70	23.80	3.00	130.00
10.8394	6.11	1.18	8.45	5.85	1.17	8.10	34.70	25.80	1.00	150.00
10.9228	6.02	1.14	8.06	6.02	1.17	8.06	34.70	25.80	3.00	150.00
11.0061	5.93	1.14	7.94	5.68	1.09	7.60	34.70	25.80	3.00	140.00
11.0897	5.68	1.06	7.07	5.68	1.09	7.07	34.70	25.80	3.00	130.00
11.1731	6.97	1.37	11.25	6.71	1.32	10.83	34.70	25.80	1.00	170.00
11.2564	6.54	1.26	9.65	6.19	1.24	9.14	34.70	25.80	5.00	160.00
11.3397	9.55	1.92	21.58	9.55	1.94	21.58	36.70	27.80	3.00	250.00
11.4231	7.14	1.37	11.53	6.88	1.36	11.11	36.70	27.80	3.00	180.00
11.5064	7.65	1.49	13.42	7.40	1.48	12.97	36.70	27.80	3.00	190.00
11.5897	8.51	1.69	16.89	8.86	1.79	17.58	36.70	25.80	5.00	200.00
11.6731	9.37	1.88	20.76	9.20	1.86	20.38	36.70	27.80	5.00	200.00
11.7564	9.89	2.00	23.27	9.80	1.98	23.07	36.70	27.80	7.00	220.00
11.8397	8.77	1.76	18.21	8.60	1.71	17.86	38.70	29.80	7.00	210.00
11.9231	7.22	1.41	12.00	7.57	1.55	12.57	36.70	27.80	7.00	180.00
12.0064	5.07	0.94	5.62	4.64	0.89	5.14	36.70	27.80	7.00	130.00
12.0897	8.43	1.65	16.33	8.26	1.67	16.00	38.70	27.80	7.00	220.00
12.7706	4.47	0.82	4.33	4.13	0.78	4.00	38.70	27.80	5.00	100.00
12.8400	4.21	0.75	3.69	3.78	0.74	3.32	38.70	27.80	5.00	100.00
12.9233	4.56	0.82	4.42	4.21	0.82	4.08	38.70	25.80	5.00	110.00
13.0067	5.76	1.06	7.18	5.85	1.13	7.29	38.70	25.80	3.00	150.00
13.0900	10.92	2.24	28.73	10.66	2.18	28.05	38.70	27.80	5.00	240.00
13.1733	5.93	1.10	7.67	5.85	1.17	7.56	38.70	27.80	5.00	150.00
13.2567	4.82	0.90	5.11	4.64	0.89	4.93	38.70	27.80	5.00	100.00
13.3400	5.16	0.94	5.71	4.73	0.93	5.24	38.70	27.80	3.00	130.00
13.4233	5.50	1.02	6.60	5.50	1.05	6.60	38.70	27.80	3.00	150.00
13.5067	4.99	0.90	5.29	5.07	1.01	5.38	38.70	27.80	5.00	130.00
13.5900	4.90	0.90	5.20	4.73	0.89	5.02	38.70	27.80	5.00	130.00
13.6736	4.30	0.75	3.77	3.87	0.74	3.39	38.70	25.80	3.00	90.00
13.7569	3.96	0.71	3.29	3.53	0.70	2.93	38.70	25.80	3.00	80.00
13.8403	4.30	0.75	3.77	3.87	0.74	3.39	38.70	25.80	3.00	100.00
13.9236	5.16	0.94	5.71	6.19	1.24	6.86	38.70	27.80	5.00	150.00
14.0069	5.16	0.94	5.71	6.11	1.20	6.76	38.70	27.80	7.00	150.00
14.0903	4.73	0.86	4.80	4.99	0.97	5.06	38.70	27.80	5.00	110.00
14.1736	3.96	0.71	3.29	3.78	0.74	3.14	38.70	27.80	5.00	80.00
14.2569	4.21	0.75	3.69	4.39	0.85	3.85	38.70	27.80	5.00	100.00
14.3403	4.13	0.71	3.43	4.21	0.82	3.50	38.70	25.80	3.00	100.00
14.4236	4.13	0.71	3.43	4.04	0.78	3.36	38.70	25.80	3.00	100.00
