# 200-250 W/m²
# I/mA  U/V
1.04    0.484
0.3     0.486
2.32    0.486
3.08    0.487
5.04    0.487
10.3    0.486
16.8    0.484
23.3    0.482
29.7    0.480
41.7    0.477
100     0.459
175     0.424
199     0.424
280     0.383
340     0.356
420     0.302
510     0.238
570     0.197
600     0.147
680     0.056
