# I/mA  U/V
0       7.00
0.148   6.62
0.170   6.55
0.2     6.46
0.24    6.33
0.28    6.18
0.315   6.03
0.335   5.96
0.375   5.79
0.410   5.62
0.450   5.39
0.471   5.24
0.497   5.06
0.500   5.01
0.53    4.72
0.56    4.4
0.58    4.1
0.595   3.82
0.61    3.45
0.625   3.03
0.642   2.57
0.655   2.02
0.667   1.64
0.692   0.66
0.7     0.0705
