6.8478	1.38	0.16	0.25	0.95	0.12	0.17	18.70	21.80	1.00	10.00
6.9172	1.63	0.20	0.38	1.12	0.16	0.26	18.70	21.80	1.00	10.00
7.0006	1.89	0.24	0.52	1.46	0.23	0.40	18.70	21.80	1.00	20.00
7.0839	2.24	0.31	0.83	1.72	0.27	0.63	18.70	21.80	1.00	20.00
7.1672	2.32	0.35	0.96	1.81	0.27	0.75	18.70	21.80	-1.00	20.00
7.2506	2.49	0.39	1.15	1.89	0.31	0.87	18.70	23.80	1.00	30.00
7.3339	2.58	0.39	1.19	1.98	0.31	0.91	18.70	23.80	1.00	30.00
7.4172	2.84	0.47	1.57	2.15	0.35	1.19	18.70	23.80	1.00	30.00
7.5006	3.01	0.47	1.67	2.32	0.39	1.29	20.70	23.80	1.00	40.00
7.5839	3.27	0.55	2.11	2.58	0.43	1.67	20.70	23.80	1.00	40.00
7.6672	3.87	0.67	3.04	2.92	0.50	2.29	20.70	23.80	3.00	50.00
7.7228	4.30	0.78	3.97	3.18	0.58	2.94	20.70	23.80	3.00	60.00
7.7786	4.64	0.86	4.71	3.35	0.62	3.40	20.70	23.80	3.00	70.00
7.8342	4.73	0.86	4.80	3.44	0.62	3.49	20.70	25.80	3.00	70.00
7.9175	4.47	0.82	4.33	3.35	0.62	3.25	20.70	25.80	5.00	60.00
8.0008	4.21	0.78	3.89	3.27	0.62	3.02	20.70	25.80	5.00	50.00
8.0842	3.44	0.63	2.54	3.01	0.54	2.22	20.70	25.80	5.00	50.00
8.1675	3.61	0.63	2.67	3.27	0.62	2.41	20.70	25.80	5.00	70.00
8.2508	3.96	0.71	3.29	3.61	0.70	3.00	20.70	25.80	5.00	80.00
8.3342	3.27	0.55	2.11	3.10	0.54	2.00	20.70	25.80	5.00	50.00
8.4175	2.84	0.43	1.44	2.41	0.39	1.22	20.70	25.80	5.00	30.00
8.5008	2.32	0.31	0.86	1.89	0.31	0.70	20.70	25.80	3.00	30.00
8.5842	2.58	0.39	1.19	2.24	0.39	1.03	20.70	25.80	3.00	50.00
8.6675	3.70	0.63	2.73	3.27	0.62	2.41	20.70	25.80	3.00	70.00
8.7508	3.78	0.67	2.97	2.92	0.54	2.29	20.70	25.80	3.00	60.00
8.8342	3.18	0.55	2.06	2.32	0.39	1.50	22.70	25.80	3.00	40.00
8.9175	2.58	0.39	1.19	2.06	0.35	0.95	22.70	25.80	3.00	30.00
9.0008	2.49	0.39	1.15	2.06	0.35	0.95	22.70	25.80	3.00	30.00
9.0844	2.24	0.31	0.83	1.81	0.27	0.67	22.70	25.80	3.00	30.00
9.1678	2.06	0.27	0.67	1.72	0.27	0.56	22.70	25.80	3.00	30.00
9.2511	2.15	0.31	0.79	1.89	0.31	0.70	20.70	25.80	3.00	40.00
9.3344	2.49	0.39	1.15	2.15	0.35	0.99	22.70	25.80	3.00	40.00
9.4178	2.41	0.35	1.00	1.81	0.27	0.75	22.70	25.80	3.00	30.00
9.5011	2.06	0.31	0.76	1.55	0.23	0.57	20.70	25.80	3.00	20.00
9.5844	1.89	0.24	0.52	1.38	0.19	0.38	22.70	25.80	3.00	10.00
9.6678	1.81	0.24	0.50	1.38	0.19	0.38	22.70	25.80	3.00	10.00
