# °C    A_50-   A_100   A_50+
27  0.65    0.6     0.6
29  0.6     0.6     0.65
31  0.8     0.6     0.7
33  1       0.6     0.8
35  1.2     0.65    1.0
38  1.05    0.6     1.0
40  1.4     0.9     1.3
42  1.3     0.8     1.2
43  1.6     0.8     1.5
45  1.4     0.75    1.2 
48  1.5     0.8     1.35
51  2.0     1.05    1.7
54  1.45    0.8     1.3
57  1.65    0.8     1.4
61  1.0     0.7     0.95
