#   I_0/mA    f_50-/MHz f_100/MHz   f_50+/MHz
50  0.9825  1.13    1.29
60  1.21    1.37    1.52
70  1.42    1.57    1.74
80  1.65    1.81    1.98
90  1.87    2.1     2.195
100 2.11    2.27    2.43
110 2.33    2.495   2.66
120 2.56    2.715   2.875
130 2.79    2.94    3.12
140 2.95    3.14    3.33
150 3.23    3.4     3.58
