# I/mA  f_50-/MHz   f_100/MHz    f_50+/MHz 
50  2.265   2.27    2.275
65  2.23    2.27    2.312
80  2.205   2.27    2.335
95  2.198   2.27    2.34
110 2.18    2.27    2.36
150 2.14    2.26    2.4
180 2.11    2.265   2.435
210 2.061   2.28    2.475
240 2.05    2.265   2.49
270 1.995   2.265   2.545 
300 1.97    2.255   2.565
